"id"	"idCompra"	"cebe"	"sociedad"	"identifMovimiento"	"ordenCompra"	"noRecepcion"	"monto"	"idCatTipoMoneda"	"estatus"	"cPag"	"CME"	"claseDocto"	"fechaDocto"	"posicion"	"partida"	"indicaImpuestos"	"tipoImputacion"	"noHes"	"nameImputacion"	"valorImputacion"
"1"	"1"		"1"	"9140"	"COM-BDG-003182"	"HES-BDG-003152"	"9250"	"MXN"	"1"	"DAY-90"		"WE"	"21/7/2025"					"9140"		
"2"	"1"		"1"	"9141"	"COM-BDG-003182"	"HES-BDG-003152"	"154000"	"MXN"	"1"	"DAY-90"		"WE"	"21/7/2025"					"9141"		
"3"	"1"		"1"	"9142"	"COM-BDG-003182"	"HES-BDG-003152"	"20000"	"MXN"	"1"	"DAY-90"		"WE"	"21/7/2025"					"9142"		
"4"	"2"		"1"	"9143"	"COM-BDG-003183"	"HES-BDG-003153"	"13750"	"MXN"	"1"	"DAY-90"		"WE"	"21/7/2025"					"9143"		
"5"	"2"		"1"	"9144"	"COM-BDG-003183"	"HES-BDG-003153"	"9250"	"MXN"	"1"	"DAY-90"		"WE"	"21/7/2025"					"9144"		
"6"	"2"		"1"	"9145"	"COM-BDG-003183"	"HES-BDG-003153"	"161000"	"MXN"	"1"	"DAY-90"		"WE"	"21/7/2025"					"9145"		
"7"	"3"		"1"	"9150"	"COM-BDG-003185"	"HES-BDG-003156"	"523500"	"MXN"	"1"	"DAY-90"		"WE"	"28/7/2025"					"9150"		
"8"	"4"		"1"	"9150"	"COM-BDG-003185"	"HES-BDG-003156"	"523500"	"MXN"	"1"	"DAY-90"		"WE"	"28/7/2025"					"9150"		
"9"	"5"		"1"	"9162"	"COM-BDG-003191"	"HES-BDG-003165"	"74062.8"	"MXN"	"1"	"DAY-10"		"WE"	"27/8/2025"					"9162"		
"10"	"5"		"1"	"9160"	"COM-BDG-003191"	"HES-BDG-003164"	"18919.64"	"MXN"	"1"	"DAY-10"		"WE"	"27/8/2025"					"9160"		
"11"	"5"		"1"	"9161"	"COM-BDG-003191"	"HES-BDG-003164"	"5647.6"	"MXN"	"1"	"DAY-10"		"WE"	"27/8/2025"					"9161"		
"12"	"5"		"1"	"9157"	"COM-BDG-003191"	"HES-BDG-003163"	"27823"	"MXN"	"1"	"DAY-10"		"WE"	"27/8/2025"					"9157"		
"13"	"5"		"1"	"9158"	"COM-BDG-003191"	"HES-BDG-003163"	"100850"	"MXN"	"1"	"DAY-10"		"WE"	"27/8/2025"					"9158"		
"14"	"6"		"1"	"9165"	"COM-YCT-003192"	"HES-BDG-003167"	"120000"	"MXN"	"1"	"DAY-90"		"WE"	"3/9/2025"					"9165"		
"15"	"6"		"1"	"9166"	"COM-YCT-003192"	"HES-BDG-003167"	"50000"	"MXN"	"1"	"DAY-90"		"WE"	"3/9/2025"					"9166"		
"16"	"6"		"1"	"9163"	"COM-YCT-003192"	"HES-BDG-003166"	"120000"	"MXN"	"1"	"DAY-90"		"WE"	"3/9/2025"					"9163"		
"17"	"6"		"1"	"9164"	"COM-YCT-003192"	"HES-BDG-003166"	"50000"	"MXN"	"1"	"DAY-90"		"WE"	"3/9/2025"					"9164"		
