"id"	"nombre"	"clave"	"estatusPagoCredito"	"estatus"	"daCambio"	"requiereBanco"	"orden"	"estatusVenta"	"prioridad"	"color"	"icono"
"1"	"Efectivo"	"01"	"1"	"1"	"1"	"0"	"1"	"1"	"9"	"2178E7"	
"2"	"Cheque"	"02"	"1"	"1"	"0"	"1"	"2"	"1"	"5"	"D0693D"	
"3"	"Transferencia Electrónica"	"03"	"1"	"1"	"0"	"1"	"3"	"1"	"1"	"60C66B"	
"4"	"Tarjeta de Débito"	"28"	"1"	"1"	"0"	"1"	"4"	"1"	"7"	"7964EB"	
"5"	"Tarjeta de Crédito"	"04"	"1"	"1"	"0"	"1"	"5"	"1"	"7"	"ECA11D"	
"6"	"Intermediario pagos (Boletas)"	"31"	"0"	"1"	"0"	"0"	"6"	"1"	"3"	"5EC8E7"	
"7"	"Compra a Crédito"	"99"	"0"	"1"	"0"	"0"	"7"	"1"	"3"	"5B142F"	
"8"	"Dación en pago"	"12"	"0"	"0"	"0"	"0"	"8"	"0"			
"9"	"Pago por subrogación"	"13"	"0"	"0"	"0"	"0"	"9"	"0"			
"10"	"Pago por consignación"	"14"	"0"	"0"	"0"	"0"	"10"	"0"			
"11"	"Condonación"	"15"	"0"	"0"	"0"	"0"	"11"	"0"			
"12"	"Compensación"	"17"	"0"	"0"	"0"	"0"	"12"	"0"			
"13"	"Novación"	"23"	"0"	"0"	"0"	"0"	"13"	"0"			
"14"	"Confusión"	"24"	"0"	"0"	"0"	"0"	"14"	"0"			
"15"	"Remisión de deuda"	"25"	"0"	"0"	"0"	"0"	"15"	"0"			
"16"	"Prescripción o caducidad"	"26"	"0"	"0"	"0"	"0"	"16"	"0"			
"17"	"A satisfacción del acreedor"	"27"	"0"	"0"	"0"	"0"	"17"	"0"			
"18"	"Monedero electrónico"	"05"	"0"	"0"	"0"	"0"	"18"	"0"			
"19"	"Tarjeta de servicios"	"29"	"0"	"0"	"0"	"0"	"20"	"0"			
"20"	"Aplicación de anticipos"	"30"	"0"	"0"	"0"	"0"	"21"	"0"			
"21"	"Dinero electrónico"	"06"	"0"	"0"	"0"	"0"	"22"	"0"			
"22"	"Por definir"	"99"	"0"	"1"	"0"	"0"	"23"	"0"			
"23"	"Vales de despensa"	"08"	"0"	"0"	"0"	"0"	"24"	"0"			
