"id"	"descripcion"	"estatus"
"AED"	"Dirham de EAU"	"1"
"AFN"	"Afghani"	"0"
"ALL"	"Lek"	"0"
"AMD"	"Dram armenio"	"0"
"ANG"	"Florín antillano neerlandés"	"0"
"AOA"	"Kwanza"	"0"
"ARS"	"Peso Argentino"	"0"
"AUD"	"Dólar Australiano"	"0"
"AWG"	"Aruba Florin"	"0"
"AZN"	"Azerbaijanian Manat"	"0"
"BAM"	"Convertibles marca"	"0"
"BBD"	"Dólar de Barbados"	"0"
"BDT"	"Taka"	"0"
"BGN"	"Lev búlgaro"	"0"
"BHD"	"Dinar de Bahrein"	"0"
"BIF"	"Burundi Franc"	"0"
"BMD"	"Dólar de Bermudas"	"0"
"BND"	"Dólar de Brunei"	"0"
"BOB"	"Boliviano"	"0"
"BOV"	"Mvdol"	"0"
"BRL"	"Real brasileño"	"0"
"BSD"	"Dólar de las Bahamas"	"0"
"BTN"	"Ngultrum"	"0"
"BWP"	"Pula"	"0"
"BYR"	"Rublo bielorruso"	"0"
"BZD"	"Dólar de Belice"	"0"
"CAD"	"Dolar Canadiense"	"1"
"CDF"	"Franco congoleño"	"0"
"CHE"	"WIR Euro"	"0"
"CHF"	"Franco Suizo"	"0"
"CHW"	"Franc WIR"	"0"
"CLF"	"Unidad de Fomento"	"0"
"CLP"	"Peso chileno"	"0"
"CNY"	"Yuan Renminbi"	"0"
"COP"	"Peso Colombiano"	"0"
"COU"	"Unidad de Valor real"	"0"
"CRC"	"Colón costarricense"	"0"
"CUC"	"Peso Convertible"	"0"
"CUP"	"Peso Cubano"	"0"
"CVE"	"Cabo Verde Escudo"	"0"
"CZK"	"Corona checa"	"0"
"DJF"	"Franco de Djibouti"	"0"
"DKK"	"Corona danesa"	"0"
"DOP"	"Peso Dominicano"	"0"
"DZD"	"Dinar argelino"	"0"
"EGP"	"Libra egipcia"	"0"
"ERN"	"Nakfa"	"0"
"ETB"	"Birr etíope"	"0"
"EUR"	"Euro"	"0"
"FJD"	"Dólar de Fiji"	"0"
"FKP"	"Libra malvinense"	"0"
"GBP"	"Libra Esterlina"	"0"
"GEL"	"Lari"	"0"
"GHS"	"Cedi de Ghana"	"0"
"GIP"	"Libra de Gibraltar"	"0"
"GMD"	"Dalasi"	"0"
"GNF"	"Franco guineano"	"0"
"GTQ"	"Quetzal"	"0"
"GYD"	"Dólar guyanés"	"0"
"HKD"	"Dolar De Hong Kong"	"0"
