"id"	"descripcion"	"estatus"
"601"	"General de Ley Personas Morales"	"1"
"603"	"Personas Morales con Fines no Lucrativos"	"1"
"605"	"Sueldos y Salarios e Ingresos Asimilados a Salarios"	"1"
"606"	"Arrendamiento"	"1"
"607"	"Régimen de Enajenación o Adquisición de Bienes"	"1"
"608"	"Demás ingresos"	"1"
"609"	"Consolidación"	"1"
"610"	"Residentes en el Extranjero sin Establecimiento Permanente en México"	"1"
"611"	"Ingresos por Dividendos (socios y accionistas)"	"1"
"612"	"Personas Físicas con Actividades Empresariales y Profesionales"	"1"
"614"	"Ingresos por intereses"	"1"
"615"	"Régimen de los ingresos por obtención de premios"	"1"
"616"	"Sin obligaciones fiscales"	"1"
"620"	"Sociedades Cooperativas de Producción que optan por diferir sus ingresos"	"1"
"621"	"Incorporación Fiscal"	"1"
"622"	"Actividades Agrícolas, Ganaderas, Silvícolas y Pesqueras"	"1"
"623"	"Opcional para Grupos de Sociedades"	"1"
"624"	"Coordinados"	"1"
"625"	"Régimen de las Actividades Empresariales con ingresos a través de Plataformas Tecnológicas"	"1"
"626"	"Régimen Simplificado de Confianza"	"1"
"628"	"Hidrocarburos"	"1"
"629"	"De los Regímenes Fiscales Preferentes y de las Empresas Multinacionales"	"1"
"630"	"Enajenación de acciones en bolsa de valores"	"1"
