"id"	"descripcion"	"fisica"	"moral"	"estatus"
"CN0"	"Nómina"	"SI"	"NO"	"1"
"CP0"	"Pagos"	"SI"	"SI"	"1"
"D01"	"Honorarios médicos, dentales y gastos hospitalarios"	"SI"	"NO"	"1"
"D02"	"Gastos médicos por incapacidad o discapacidad"	"SI"	"NO"	"1"
"D03"	"Gastos funerales"	"SI"	"NO"	"1"
"D04"	"Donativos"	"SI"	"NO"	"1"
"D05"	"Intereses reales efectivamente pagados por créditos hipotecarios (casa habitación)"	"SI"	"NO"	"1"
"D06"	"Aportaciones voluntarias al SAR"	"SI"	"NO"	"1"
"D07"	"Primas por seguros de gastos médicos"	"SI"	"NO"	"1"
"D08"	"Gastos de transportación escolar obligatoria"	"SI"	"NO"	"1"
"D09"	"Depósitos en cuentas para el ahorro, primas que tengan como base planes de pensiones"	"SI"	"NO"	"1"
"D10"	"Pagos por servicios educativos (colegiaturas)"	"SI"	"NO"	"1"
"G01"	"Adquisición de mercancias"	"SI"	"SI"	"1"
"G02"	"Devoluciones, descuentos o bonificaciones"	"SI"	"SI"	"1"
"G03"	"Gastos en general"	"SI"	"SI"	"1"
"I01"	"Construcciones"	"SI"	"SI"	"1"
"I02"	"Mobilario y equipo de oficina por inversiones"	"SI"	"SI"	"1"
"I03"	"Equipo de transporte"	"SI"	"SI"	"1"
"I04"	"Equipo de computo y accesorios"	"SI"	"SI"	"1"
"I05"	"Dados, troqueles, moldes, matrices y herramental"	"SI"	"SI"	"1"
"I06"	"Comunicaciones telefónicas"	"SI"	"SI"	"1"
"I07"	"Comunicaciones satelitales"	"SI"	"SI"	"1"
"I08"	"Otra maquinaria y equipo"	"SI"	"SI"	"1"
"P01"	"Por definir"	"SI"	"SI"	"1"
"S01"	"Sin efectos fiscales.  "	"SI"	"SI"	"1"
