"id"	"idNivel"	"idArea"	"idMenu"	"idSubMenu"	"idSubMenu2"	"idSubMenu3"	"idSeccion"
"1"	"1"	"3"	"5"				
"2"	"1"	"3"	"6"	"1"			
"3"	"1"	"3"	"6"	"2"			
"4"	"1"	"3"	"6"				
"5"	"1"	"3"	"7"				
"6"	"2"	"1"	"1"				
"7"	"2"	"1"	"2"				
"8"	"2"	"1"	"3"				
"13"	"1"	"3"	"8"	"3"			
"14"	"1"	"3"	"8"	"4"			
"15"	"1"	"3"	"8"	"5"			
"16"	"1"	"3"	"9"				
"17"	"1"	"3"	"8"	"6"			
"18"	"1"	"3"	"6"	"7"			
"19"	"1"	"3"	"10"	"8"			
"20"	"3"	"2"	"11"				
"21"	"3"	"2"	"12"				
"22"	"3"	"2"	"13"				
"23"	"1"	"3"	"10"	"9"			
"24"	"1"	"3"	"14"				
"25"	"1"	"3"	"10"	"10"			
"26"	"1"	"3"	"10"	"11"			
"27"	"1"	"3"	"10"	"12"			
"28"	"1"	"3"	"6"	"13"			
