"id"	"idArea"	"nombre"	"descripcion"	"icono"	"orden"	"link"	"estatus"	"tipo"	"queryDatos"	"urlContenido"	"visible"	"usoLinkBase"
"1"	"1"	"Inicio"	"Bienvenido."	"fas fa-home"	"1"	"Inicio"	"1"	"1"			"1"	
"2"	"1"	"Historico"	"Historial de Facturas y Carga de Complementos de Pago."	"fas fa-history"	"2"	"Historico"	"1"	"2"			"1"	
"3"	"1"	"Mi Perfil"	"Personaliza tu Perfil."	"fas fa-user-circle"	"3"	"MiPerfil"	"1"	"2"			"0"	
"5"	"3"	"Inicio"	"Bienvenido."	"fas fa-home"	"1"	"Inicio"	"1"	"1"			"1"	
"6"	"3"	"Facturas"		"fas fa-file"	"2"		"1"	"3"			"1"	
"7"	"3"	"Control Proveedores"	"Administración de Proveedores."	"fas fa-wrench"	"3"	"ControlProveedores"	"1"	"2"			"1"	
"8"	"3"	"Configuraciones"		"fas fa-cog"	"4"		"1"	"3"			"1"	
"9"	"3"	"Historico"	"Historial De Facturas"	"fas fa-history"	"5"	"HistorialFacturas"	"1"	"2"			"1"	
"10"	"3"	"Reportes"		"fas fa-book"	"6"	"Reportes"	"1"	"3"			"1"	
"11"	"2"	"Inicio"	"Bienvenido"	"fas fa-home"	"1"	"Inicio"	"1"	"1"			"1"	
"12"	"2"	"Historico"	"Historial de Facturas y Carga de Complementos de Pago."	"fas fa-history"	"2"	"Historico"	"1"	"2"			"1"	
"13"	"2"	"Mi Perfil"	"Personaliza tu Perfil."	"fas fa-user-circle"	"3"	"MiPerfil"	"1"	"2"			"0"	
"14"	"3"	"Mi Perfil"	"Personaliza tu Perfil."	"fas fa-user-circle"	"7"	"MiCuenta"	"1"	"2"			"0"	
