"id"	"idSegMenu"	"nombre"	"descripcion"	"icono"	"link"	"orden"	"estatus"	"visible"
"1"	"6"	"Nacionales"	"Listado de Facturas Nacionales"	"fas fa-flag"	"FacturasNacionales"	"1"	"1"	"1"
"2"	"6"	"Internacionales"	"Listado de Facturas Internacionales"	"fas fa-globe"	"FacturasInternacionales"	"2"	"1"	"1"
"3"	"8"	"Alertas"	"Creación de Alertas"	"fas fa-info-circle"	"Alertas"	"1"	"1"	"1"
"4"	"8"	"Cierre Del Portal"	"Configuración para no recibir facturas"	"fas fa-user-times"	"BloqueoProveedores"	"2"	"1"	"1"
"5"	"8"	"Proveedores con Descuento"	"Listado de Proveedores que pueden subir con descuento"	"ti-stats-down"	"DescuentoProveedores"	"3"	"1"	"1"
"6"	"8"	"Excepciones"	"Configura Excepciones Por Proveedor"	"fas fa-star"	"ExcepcionesProveedores"	"4"	"1"	"1"
"7"	"6"	"Validador"	"Validar Facturas XML"	"fas fa-file-code"	"Validador"	"3"	"0"	"0"
"8"	"10"	"Pendientes Por Pagar"	"Listado de facturas pendientes por pagar"	"fas fa-dollar-sign"	"PendientesPorPagar"	"1"	"1"	"1"
"9"	"10"	"Descarga Facturas"	"Busqueda Y Descarga De Facturas"	"fas fa-download"	"DescargaFacturas"	"2"	"1"	"1"
"10"	"10"	"Pagos Realizados"	"Listado De Pagos Realizados"	"fas fa-hand-holding-usd"	"PagosRealizados"	"3"	"1"	"1"
"11"	"10"	"Insolutos Pendientes"	"Listado De Insolutos Pendientes"	"fas fa-donate"	"Insolutos"	"4"	"1"	"1"
"12"	"10"	"Complementos Pendientes"	"Listado De Complementos Pendientes"	"fas fa-copy"	"Complementos"	"5"	"1"	"1"
"13"	"6"	"Cargar Facturas"	"Cargar Facturas Del Proveedor"	"fas fa-file-code"	"CargarFacturas"	"4"	"1"	"1"
