"id_OC"	"idSucursal"	"idProveedor"	"TipoDocumento"	"OrdenCompra"	"tipoCompra"	"idHES"	"HES"	"idDetRecpcion"	"posicionCompra"	"cantidad"	"costoUnitario"	"Subtotal"
"3199"	"1"	"100144"	"WE"	"COM-BDG-003199"	"1"	"3175"	"HES-BDG-003175"	"9193"	"13181"	"100"	"25"	"2500"
"3199"	"1"	"100144"	"WE"	"COM-BDG-003199"	"1"	"3176"	"HES-BDG-003176"	"9194"	"13182"	"100"	"475"	"47500"
"3197"	"1"	"100022"	"WE"	"COM-BDG-003197"	"1"	"3173"	"HES-BDG-003173"	"9191"	"13180"	"250"	"12"	"3000"
"3197"	"1"	"100022"	"WE"	"COM-BDG-003197"	"1"	"3174"	"HES-BDG-003174"	"9192"	"13180"	"50"	"12"	"600"
"3196"	"1"	"100011"	"WE"	"COM-BDG-003196"	"1"	"3171"	"HES-ANE-003171"	"9187"	"13178"	"70"	"45.78"	"3204.6"
"3196"	"1"	"100011"	"WE"	"COM-BDG-003196"	"1"	"3171"	"HES-ANE-003171"	"9188"	"13179"	"80"	"166"	"13280"
"3196"	"1"	"100011"	"WE"	"COM-BDG-003196"	"1"	"3172"	"HES-ANE-003172"	"9189"	"13178"	"30"	"45.78"	"1373.4"
"3196"	"1"	"100011"	"WE"	"COM-BDG-003196"	"1"	"3172"	"HES-ANE-003172"	"9190"	"13179"	"20"	"166"	"3320"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3168"	"HES-BDG-003168"	"9167"	"13164"	"10"	"638.25"	"6382.5"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3168"	"HES-BDG-003168"	"9168"	"13165"	"80"	"148.5"	"11880"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3168"	"HES-BDG-003168"	"9169"	"13166"	"80"	"159"	"12720"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3168"	"HES-BDG-003168"	"9170"	"13167"	"40"	"522.75"	"20910"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3168"	"HES-BDG-003168"	"9171"	"13168"	"80"	"298.5"	"23880"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3168"	"HES-BDG-003168"	"9172"	"13169"	"20"	"207.75"	"4155"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3168"	"HES-BDG-003168"	"9173"	"13170"	"50"	"106.5"	"5325"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3168"	"HES-BDG-003168"	"9174"	"13171"	"100"	"126.75"	"12675"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3169"	"HES-BDG-003169"	"9175"	"13164"	"10"	"638.25"	"6382.5"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3169"	"HES-BDG-003169"	"9176"	"13165"	"100"	"148.5"	"14850"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3169"	"HES-BDG-003169"	"9177"	"13166"	"100"	"159"	"15900"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3169"	"HES-BDG-003169"	"9178"	"13167"	"20"	"522.75"	"10455"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3169"	"HES-BDG-003169"	"9179"	"13168"	"100"	"298.5"	"29850"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3169"	"HES-BDG-003169"	"9180"	"13169"	"40"	"207.75"	"8310"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3169"	"HES-BDG-003169"	"9181"	"13170"	"150"	"106.5"	"15975"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3169"	"HES-BDG-003169"	"9182"	"13171"	"100"	"126.75"	"12675"
"3194"	"16"	"100074"	"WE"	"COM-YCT-003194"	"1"	"3170"	"HES-BDG-003170"	"9183"	"13174"	"48"	"111.75"	"5364"
